"Country","People Living with T1D","People who should still be alive today","Healthy years of life lost per person","Healthy years of life lost to treatment","Healthy years of life lost to treatment (Peers)","Healthy years of life lost to complications","Healthy years of life lost to complications (Peers)","Healthy years of life lost to shorter life","Healthy years of life lost to shorter life (Peers)","Healthy years of life lost to cost of care","Healthy years of life lost to cost of care (Peers)","Healthy years of life lost to mental health","Healthy years of life lost to mental health (Peers)","Healthy years of life lost to quality of life","Healthy years of life lost to quality of life (Peers)","Healthy years stolen","Healthy years stolen (Peers)","Healthy years remaining","Healthy years remaining (Peers)","Percentage of families impacted by T1D in 1990","Percentage of families impacted by T1D in 2022","Percentage of families impacted by T1D in 2040","T1D growth from 2000-2000","T1D growth from 2000-2001","T1D growth from 2000-2002","T1D growth from 2000-2003","T1D growth from 2000-2004","T1D growth from 2000-2005","T1D growth from 2000-2006","T1D growth from 2000-2007","T1D growth from 2000-2008","T1D growth from 2000-2009","T1D growth from 2000-2010","T1D growth from 2000-2011","T1D growth from 2000-2012","T1D growth from 2000-2013","T1D growth from 2000-2014","T1D growth from 2000-2015","T1D growth from 2000-2016","T1D growth from 2000-2017","T1D growth from 2000-2018","T1D growth from 2000-2019","T1D growth from 2000-2020","T1D growth from 2000-2021","T1D growth from 2000-2022","Population growth from 2000-2000","Population growth from 2000-2001","Population growth from 2000-2002","Population growth from 2000-2003","Population growth from 2000-2004","Population growth from 2000-2005","Population growth from 2000-2006","Population growth from 2000-2007","Population growth from 2000-2008","Population growth from 2000-2009","Population growth from 2000-2010","Population growth from 2000-2011","Population growth from 2000-2012","Population growth from 2000-2013","Population growth from 2000-2014","Population growth from 2000-2015","Population growth from 2000-2016","Population growth from 2000-2017","Population growth from 2000-2018","Population growth from 2000-2019","Population growth from 2000-2020","Population growth from 2000-2021","Population growth from 2000-2022","T2D growth from 2000-2000","T2D growth from 2000-2001","T2D growth from 2000-2002","T2D growth from 2000-2003","T2D growth from 2000-2004","T2D growth from 2000-2005","T2D growth from 2000-2006","T2D growth from 2000-2007","T2D growth from 2000-2008","T2D growth from 2000-2009","T2D growth from 2000-2010","T2D growth from 2000-2011","T2D growth from 2000-2012","T2D growth from 2000-2013","T2D growth from 2000-2014","T2D growth from 2000-2015","T2D growth from 2000-2016","T2D growth from 2000-2017","T2D growth from 2000-2018","T2D growth from 2000-2019","T2D growth from 2000-2020","T2D growth from 2000-2021","T2D growth from 2000-2022","HIV growth from 2000-2000","HIV growth from 2000-2001","HIV growth from 2000-2002","HIV growth from 2000-2003","HIV growth from 2000-2004","HIV growth from 2000-2005","HIV growth from 2000-2006","HIV growth from 2000-2007","HIV growth from 2000-2008","HIV growth from 2000-2009","HIV growth from 2000-2010","HIV growth from 2000-2011","HIV growth from 2000-2012","HIV growth from 2000-2013","HIV growth from 2000-2014","HIV growth from 2000-2015","HIV growth from 2000-2016","HIV growth from 2000-2017","HIV growth from 2000-2018","HIV growth from 2000-2019","HIV growth from 2000-2020","HIV growth from 2000-2021","HIV growth from 2000-2022","Asthma growth from 2000-2000","Asthma growth from 2000-2001","Asthma growth from 2000-2002","Asthma growth from 2000-2003","Asthma growth from 2000-2004","Asthma growth from 2000-2005","Asthma growth from 2000-2006","Asthma growth from 2000-2007","Asthma growth from 2000-2008","Asthma growth from 2000-2009","Asthma growth from 2000-2010","Asthma growth from 2000-2011","Asthma growth from 2000-2012","Asthma growth from 2000-2013","Asthma growth from 2000-2014","Asthma growth from 2000-2015","Asthma growth from 2000-2016","Asthma growth from 2000-2017","Asthma growth from 2000-2018","Asthma growth from 2000-2019","Asthma growth from 2000-2020","Asthma growth from 2000-2021","Asthma growth from 2000-2022","Tuberculosis growth from 2000-2000","Tuberculosis growth from 2000-2001","Tuberculosis growth from 2000-2002","Tuberculosis growth from 2000-2003","Tuberculosis growth from 2000-2004","Tuberculosis growth from 2000-2005","Tuberculosis growth from 2000-2006","Tuberculosis growth from 2000-2007","Tuberculosis growth from 2000-2008","Tuberculosis growth from 2000-2009","Tuberculosis growth from 2000-2010","Tuberculosis growth from 2000-2011","Tuberculosis growth from 2000-2012","Tuberculosis growth from 2000-2013","Tuberculosis growth from 2000-2014","Tuberculosis growth from 2000-2015","Tuberculosis growth from 2000-2016","Tuberculosis growth from 2000-2017","Tuberculosis growth from 2000-2018","Tuberculosis growth from 2000-2019","Tuberculosis growth from 2000-2020","Tuberculosis growth from 2000-2021","Tuberculosis growth from 2000-2022","Life expectancy from age 10","Healthy years lost when developing T1D","Healthy years restored with onset diagnosis","Perctange of children with T1D undiagnosed","Uncelebrated birthdays this year","Educational poster cost in dollars","Healthy years restored with insulin and strips","Lives lost without insulin and strips","Uncelebrated birthdays this year2","Healthy hours restored with each test strip","Healthy years restored with device uptake","Days per year managing T1D without devices","Days per year restored through devices","T1D_growth_rate","Population_growth_rate","HIV_growth_rate","T2D_growth_rate","Asthma_growth_rate","Tuberculosis_growth_rate","t1d_index_dashboar_url","t1d_index_version"
"Sierra Leone",334.76,1258.62,46.589999999999996,0.33,0.42000000000000004,0.15,0.3520000000000001,46.11,45.686,"TBD","TBD","TBD","TBD","TBD","TBD",46.589999999999996,47.674,16.759999999999998,22.626000000000005,"0.51%","0.44%","0.42%","100%","111.69%","125.99%","142.26%","160.86%","180.73%","200%","221.6%","245.22%","271.37%","303.21%","336.88%","372.13%","409.33%","447.37%","484.66%","523.24%","562.57%","600.67%","641.54%","684.1%","727.29%","773.48%","100%","103.7%","108.31%","113.45%","118.53%","123.14%","127.15%","130.65%","133.79%","136.82%","139.94%","143.16%","146.42%","149.72%","153.06%","156.44%","159.86%","163.34%","166.87%","170.42%","174%","177.58%","181.18%","100%","106.14%","112.85%","119.86%","126.78%","133.91%","141.04%","148.71%","156.85%","165.19%","174.14%","183.07%","192.44%","202.32%","212.55%","223.82%","236.15%","249.5%","263.84%","279.68%","279.68%","279.68%","279.68%","100%","112.96%","124.9%","135.27%","143.93%","151.21%","157.81%","164.53%","171.55%","179.83%","189.69%","200.26%","211.04%","222.45%","233.45%","243.06%","253.79%","264.64%","276.04%","287.94%","287.94%","287.94%","287.94%","100%","105.59%","111.23%","116.52%","121.11%","124.94%","127.59%","129.41%","131.15%","133.3%","136.47%","140.58%","144.99%","149.58%","154.21%","158.74%","163.65%","168.91%","174.74%","181.56%","181.56%","181.56%","181.56%","100%","103.75%","106.25%","107.64%","108.29%","109%","110.17%","111.8%","113.87%","115.93%","117.57%","118.51%","118.78%","118.58%","118.06%","117.47%","116.78%","115.78%","114.51%","112.89%","112.89%","112.89%","112.89%",63.35,46.589999999999996,2.5,"24.8%",136,1,20.8,711.9,136,4.295992919378152,7.7,18,52.635831310847145,9.74,2.74,4.92,4.79,2.75,0.55,"https://t1dindex.shinyapps.io/dashboard/?loc_id=694","1.0.4.15"
"Singapore",6186.62,665.1,22.860000000000007,3.18,2.55,9.24,6.65,10.440000000000005,7.683999999999994,"TBD","TBD","TBD","TBD","TBD","TBD",22.860000000000007,18.136000000000003,61.559999999999995,64.628,"0.32%","0.53%","0.99%","100%","104.91%","109.5%","114.3%","120.08%","127.44%","136.89%","148.2%","161.05%","174.36%","187.56%","199.99%","211.99%","223.68%","235.31%","246.95%","259.12%","270.63%","282.11%","293.55%","305.69%","317.54%","330.34%","100%","101.2%","101.87%","102.49%","103.68%","105.88%","109.27%","113.64%","118.53%","123.27%","127.35%","130.64%","133.26%","135.35%","137.14%","138.79%","140.32%","141.67%","142.89%","144.05%","145.2%","146.35%","147.51%","100%","104.11%","107.34%","108.82%","112.48%","116.98%","122.54%","129.57%","138.25%","145.31%","151.49%","159.66%","170.13%","180.23%","189.4%","196.39%","190.73%","183.27%","190.99%","204.94%","204.94%","204.94%","204.94%","100%","103.49%","104.98%","103.51%","105.09%","107.82%","111.97%","117.85%","125.62%","130.15%","133.03%","136.69%","141.56%","145.48%","148.55%","151.09%","154.14%","155.11%","157.01%","158.97%","158.97%","158.97%","158.97%","100%","98.5%","95.08%","89.73%","87.2%","86.6%","87.38%","89.04%","91.86%","93.28%","94.06%","95.78%","98.6%","101.09%","103.29%","104.91%","104.41%","102.88%","103.81%","105.22%","105.22%","105.22%","105.22%","100%","100.28%","98.6%","94.46%","92.98%","92.51%","92.74%","93.88%","96.19%","96.34%","95.52%","95.16%","95.19%","94.47%","93.48%","92.42%","91.46%","89.41%","87.92%","86.58%","86.58%","86.58%","86.58%",84.42,22.860000000000007,0,"0%",0,1,2.6,165.72,0,1.1117573827244247,5.6,18,39.719947229636006,5.58,1.78,2.13,3.32,0.23,-0.65,"https://t1dindex.shinyapps.io/dashboard/?loc_id=702","1.0.4.15"
"Slovakia",21545.42,3670.65,23.720000000000013,2.71,2.55,7.22,6.65,13.790000000000006,7.683999999999994,"TBD","TBD","TBD","TBD","TBD","TBD",23.720000000000013,18.136000000000003,55.15,64.628,"0.99%","2.52%","6.15%","100%","105.22%","110.77%","116.48%","122.66%","129.2%","135.77%","142.95%","150.62%","158.62%","167.17%","175.8%","184.92%","194.61%","204.82%","215.64%","226.89%","238.4%","250.67%","263.52%","276.79%","290.51%","304.59%","100%","100.01%","100.02%","100.01%","100%","99.99%","99.99%","99.99%","100%","100.03%","100.09%","100.18%","100.29%","100.41%","100.55%","100.67%","100.79%","100.9%","101%","101.07%","101.12%","101.14%","101.13%","100%","102.51%","105.47%","108.63%","111.73%","114.51%","117.08%","119.71%","122.42%","125.2%","128.09%","131.3%","134.94%","138.81%","142.7%","146.34%","149.27%","152.23%","157.71%","166.02%","166.02%","166.02%","166.02%","100%","106.29%","113.07%","119.27%","125.64%","136.73%","153.33%","173.2%","194.93%","216.32%","236.07%","254.19%","270.45%","285.73%","302.05%","319.2%","336.11%","352.65%","368.6%","383.99%","383.99%","383.99%","383.99%","100%","99.76%","99.56%","99.37%","99.2%","99.01%","99.15%","99.8%","100.62%","101.27%","101.41%","101.06%","100.53%","99.97%","99.55%","99.45%","102.08%","104.86%","105.19%","105.1%","105.1%","105.1%","105.1%","100%","98.7%","97.33%","95.89%","94.35%","92.67%","90.73%","88.52%","86.18%","83.88%","81.71%","79.65%","77.58%","75.55%","73.62%","71.79%","70.09%","68.52%","67%","65.52%","65.52%","65.52%","65.52%",78.87,23.720000000000013,0,"0%",0,1,3.8,862.04,0,1.1117573827244247,6.2,18,39.719947229636006,5.19,0.05,6.31,2.33,0.23,-1.9,"https://t1dindex.shinyapps.io/dashboard/?loc_id=703","1.0.4.15"
"Slovenia",6558.97,1335.77,24.429999999999993,2.97,2.55,9.11,6.65,12.349999999999994,7.683999999999994,"TBD","TBD","TBD","TBD","TBD","TBD",24.429999999999993,18.136000000000003,58.03,64.628,"0.86%","2.17%","4.62%","100%","103.97%","107.67%","111.04%","115.65%","120.84%","126.48%","132.86%","138.07%","142.7%","148.28%","153.95%","159.47%","165.35%","171.72%","178.51%","185.64%","193.19%","201.13%","209.68%","218.89%","228.43%","238.47%","100%","99.99%","99.98%","100.01%","100.13%","100.36%","100.74%","101.23%","101.77%","102.32%","102.79%","103.19%","103.52%","103.79%","104%","104.19%","104.34%","104.45%","104.53%","104.57%","104.58%","104.57%","104.53%","100%","102.39%","104.96%","107.56%","110.01%","112.2%","113.89%","115.24%","116.42%","117.69%","119.3%","121.11%","122.9%","124.63%","126.44%","128.32%","130.44%","132.97%","137.61%","144.96%","144.96%","144.96%","144.96%","100%","103.69%","106.21%","107.85%","109.73%","112.81%","117.31%","123.05%","129.62%","137.24%","146.31%","157.36%","170.05%","182.6%","194.09%","204.63%","214.78%","224.44%","233.45%","242.14%","242.14%","242.14%","242.14%","100%","98.91%","98.03%","97.24%","96.41%","95.43%","94.11%","92.48%","90.8%","89.31%","88.26%","87.46%","86.66%","85.97%","85.57%","85.58%","86.83%","88.13%","88.33%","88.09%","88.09%","88.09%","88.09%","100%","97.88%","95.51%","93%","90.48%","88.09%","85.79%","83.45%","81.11%","78.86%","76.76%","74.76%","72.76%","70.81%","68.97%","67.28%","65.77%","64.37%","63%","61.65%","61.65%","61.65%","61.65%",82.46,24.429999999999993,0,"0%",0,1,4.6,382.38,0,1.1117573827244247,5.6,18,39.719947229636006,4.03,0.2,4.1,1.7,-0.57,-2.17,"https://t1dindex.shinyapps.io/dashboard/?loc_id=705","1.0.4.15"
"Solomon Islands",12.92,9.41,46.7,1.19,0.708,5.09,1.4100000000000001,40.42,36.550000000000004,"TBD","TBD","TBD","TBD","TBD","TBD",46.7,43.67199999999999,28.560000000000002,30.208000000000002,"0.06%","0.09%","0.14%","100%","108.37%","117.53%","127.09%","137.85%","149.4%","161.75%","174.9%","188.45%","204.38%","220.32%","238.65%","258.17%","278.09%","300.4%","323.11%","347.01%","371.31%","398.01%","424.7%","453.78%","483.27%","514.74%","100%","102.73%","105.52%","108.32%","111.12%","113.87%","116.58%","119.26%","121.98%","124.84%","127.92%","131.23%","134.75%","138.45%","142.27%","146.16%","150.11%","154.13%","158.2%","162.32%","166.45%","170.6%","174.76%","100%","105.77%","111.83%","118.16%","124.71%","131.43%","138.36%","145.52%","153%","160.9%","169.27%","178.55%","188.75%","199.55%","210.57%","221.37%","232.16%","242.91%","253.86%","265.27%","265.27%","265.27%","265.27%","100%","104.17%","108.99%","114.62%","121.15%","129.07%","138.61%","149.41%","161.52%","175.02%","188.67%","203.23%","220.83%","241.03%","263.52%","289.08%","318.5%","350.45%","381.94%","411.3%","411.3%","411.3%","411.3%","100%","101.65%","102.61%","103.18%","103.7%","104.55%","105.63%","106.66%","107.77%","109.08%","110.74%","112.7%","114.81%","117.14%","119.78%","122.81%","136.41%","150.11%","152.92%","154.61%","154.61%","154.61%","154.61%","100%","102.89%","106.23%","109.77%","113.24%","116.36%","119.21%","122.05%","124.88%","127.69%","130.46%","133%","135.23%","137.29%","139.32%","141.48%","143.62%","145.87%","148.36%","150.92%","150.92%","150.92%","150.92%",75.26,46.7,2.7,"14.4%",2.25,1,23.6,5.17,2.25,3.2336770219840876,5.8,18,41.072044186258765,7.73,2.57,6.64,4.53,2,1.89,"https://t1dindex.shinyapps.io/dashboard/?loc_id=90","1.0.4.15"
"Somalia",21182.46,61019.75,49.300000000000004,0.36,0.42000000000000004,0.28,0.3520000000000001,48.660000000000004,45.686,"TBD","TBD","TBD","TBD","TBD","TBD",49.300000000000004,47.674,17.3,22.626000000000005,"15.5%","18.9%","20.33%","100%","109.33%","119.53%","130.62%","142.78%","155.64%","168.91%","183.48%","200.14%","219.16%","240.05%","262%","285.08%","310.77%","338.08%","366.43%","397.21%","429.12%","462.66%","497.21%","534.98%","572.61%","612.21%","100%","103.54%","107.09%","110.63%","114.18%","117.75%","121.32%","124.89%","128.46%","132.07%","135.75%","139.49%","143.32%","147.24%","151.3%","155.51%","159.89%","164.44%","169.16%","174.06%","179.13%","184.39%","189.83%","100%","104.91%","110.14%","115.53%","120.94%","126.51%","132.47%","138.71%","145.11%","151.27%","157.07%","163.52%","171.07%","179.07%","187.22%","195.64%","204.83%","214.43%","224.65%","235.95%","235.95%","235.95%","235.95%","100%","106.56%","110.96%","113.46%","114.4%","114.33%","113.51%","111.81%","109.58%","106.71%","103.41%","100.54%","98.16%","95.8%","93.47%","91.27%","89.11%","86.86%","84.48%","82.12%","82.12%","82.12%","82.12%","100%","102.97%","105.76%","108.3%","110.61%","113.03%","115.26%","116.85%","118.26%","119.68%","121.5%","124.61%","128.76%","133.36%","138.23%","143.56%","148.98%","154.31%","159.73%","165.35%","165.35%","165.35%","165.35%","100%","103.27%","106.42%","109.27%","111.8%","114.31%","116.59%","118.07%","119.01%","119.36%","119.33%","120.02%","121.41%","122.92%","124.55%","126.66%","129.08%","130.86%","130.8%","128.85%","128.85%","128.85%","128.85%",66.6,49.300000000000004,2.7,"26.3%",9348.89,1,23.1,35541.35,9348.89,4.295992919378152,7.7,18,52.635831310847145,8.58,2.96,-0.89,3.98,2.31,1.16,"https://t1dindex.shinyapps.io/dashboard/?loc_id=706","1.0.4.15"
"South Africa",31535.58,38501.97,38.739999999999995,1.07,1.47,1.97,4.93,35.699999999999996,21.690000000000005,"TBD","TBD","TBD","TBD","TBD","TBD",38.739999999999995,29.21,29.060000000000002,47.93,"0.98%","1.23%","1.9%","100%","104.15%","108.71%","114.13%","120.23%","127.02%","135.03%","143.8%","154.05%","165.45%","178.17%","191.77%","206.32%","221.65%","237.34%","253.27%","269.21%","285.46%","301.49%","317.89%","334.51%","351.29%","368.35%","100%","101.34%","102.63%","103.89%","105.17%","106.48%","107.83%","109.23%","110.7%","112.25%","113.9%","115.65%","117.49%","119.39%","121.3%","123.17%","125%","126.78%","128.52%","130.22%","131.89%","133.52%","135.11%","100%","104.02%","108.05%","112.06%","116.02%","119.87%","124.51%","130.19%","136.48%","142.78%","148.36%","153.91%","159.97%","166.23%","172.25%","177.53%","180.98%","184.25%","189.26%","195.22%","195.22%","195.22%","195.22%","100%","110.85%","119.92%","127.22%","132.97%","137.51%","141.24%","144.63%","148.7%","152.97%","158.12%","163.97%","170.43%","177.54%","184.65%","191.39%","197.53%","203.2%","208.5%","212.98%","212.98%","212.98%","212.98%","100%","97.47%","88.77%","77.28%","66.58%","60.34%","57.62%","55.2%","53.32%","52.19%","52.03%","54.06%","58.77%","65.21%","72.41%","79.37%","89.19%","96.75%","98.52%","99.52%","99.52%","99.52%","99.52%","100%","101.71%","103.2%","104.48%","105.61%","106.64%","107.57%","108.41%","109.21%","109.99%","110.77%","111.39%","111.81%","112.17%","112.61%","113.28%","114.33%","115.44%","116.36%","117.19%","117.19%","117.19%","117.19%",67.8,38.739999999999995,4.9,"12.9%",7740,1,11.6,14103.44,7740,1.3067665587021007,7.1,18,41.03166983020928,6.11,1.38,3.5,3.09,-0.02,0.72,"https://t1dindex.shinyapps.io/dashboard/?loc_id=710","1.0.4.15"
"South Sudan",8260.58,25642.29,48.440000000000005,0.38,0.42000000000000004,0.25,0.3520000000000001,47.81,45.686,"TBD","TBD","TBD","TBD","TBD","TBD",48.440000000000005,47.674,17.51,22.626000000000005,"7.79%","9.87%","14.99%","100%","113.99%","129.81%","147.18%","166.97%","189.4%","213.92%","240.8%","270.58%","302.3%","334.65%","366.84%","397.6%","428.58%","459.33%","489.5%","517.88%","545.42%","572.63%","601.74%","633.67%","669.76%","709%","100%","104.01%","107.89%","111.88%","116.36%","121.56%","127.55%","134.13%","140.93%","147.47%","153.38%","158.57%","163.14%","167.03%","170.26%","172.85%","174.73%","176%","177.05%","178.44%","180.56%","183.59%","187.41%","100%","102.8%","105.7%","108.73%","112.01%","115.59%","119.56%","124.07%","128.96%","134.15%","139.38%","144.64%","149.37%","153.16%","156.41%","157.43%","158.67%","163.4%","170.14%","177.69%","177.69%","177.69%","177.69%","100%","108%","115.03%","121.14%","126.47%","131.21%","135.54%","139.64%","143.77%","148.05%","152.55%","157.25%","160.61%","161.87%","162.52%","159.44%","155.2%","157.65%","163.83%","170.11%","170.11%","170.11%","170.11%","100%","101.21%","102.16%","103.04%","104.1%","105.6%","107.43%","109.36%","111.44%","113.71%","116.2%","118.75%","120.02%","119.57%","118.11%","113.38%","110.64%","113.43%","117.09%","120.22%","120.22%","120.22%","120.22%","100%","100.65%","101.22%","101.8%","102.51%","103.46%","104.64%","105.96%","107.4%","108.93%","110.46%","112.01%","112.29%","110.79%","108.16%","102.09%","95.7%","94.16%","94.72%","94.64%","94.64%","94.64%","94.64%",65.95,48.440000000000005,2.9,"25.4%",3726.96,1,21.7,14664.08,3726.96,4.295992919378152,7.6,18,52.635831310847145,9.31,2.9,2.44,2.65,0.84,-0.25,"https://t1dindex.shinyapps.io/dashboard/?loc_id=728","1.0.4.15"
"Spain",206943.5,25843.32,16.570000000000007,3.37,2.55,7.28,6.65,5.920000000000002,7.683999999999994,"TBD","TBD","TBD","TBD","TBD","TBD",16.570000000000007,18.136000000000003,67.93,64.628,"1.71%","2.43%","2.74%","100%","103.38%","107.18%","111.29%","115.8%","120.34%","124.52%","128.97%","133.51%","137.69%","141.43%","144.38%","146.98%","149.25%","151.45%","153.56%","156.15%","158.72%","161.32%","164.08%","166.89%","169.43%","171.99%","100%","101.21%","102.68%","104.34%","106.08%","107.82%","109.56%","111.27%","112.84%","114.1%","114.95%","115.32%","115.27%","114.94%","114.57%","114.31%","114.21%","114.24%","114.35%","114.46%","114.5%","114.48%","114.41%","100%","102.82%","105.3%","107.76%","110.3%","112.79%","115.83%","118.9%","122.09%","125.13%","127.5%","128.09%","126.21%","123.5%","121.38%","121.16%","126.61%","132.92%","136.32%","139.59%","139.59%","139.59%","139.59%","100%","100.01%","100.36%","100.88%","101.66%","102.89%","104.35%","106.24%","108.54%","110.94%","113.1%","114.87%","116.67%","118.54%","120.77%","124.08%","128.42%","133.31%","138.32%","143.23%","143.23%","143.23%","143.23%","100%","100.3%","101.09%","102.28%","103.69%","105.17%","107.61%","111.21%","115.26%","118.72%","120.55%","120.52%","119.36%","117.71%","116.21%","115.49%","117.05%","118.73%","118.74%","118.26%","118.26%","118.26%","118.26%","100%","97.9%","96.2%","94.71%","93.2%","91.57%","89.53%","87.16%","84.65%","82.08%","79.69%","77.37%","75.02%","72.65%","70.3%","68.04%","65.84%","63.88%","62.09%","60.43%","60.43%","60.43%","60.43%",84.5,16.570000000000007,0,"0%",0,1,0,2926.53,0,1.1117573827244247,3.5,18,39.719947229636006,2.5,0.61,1.65,1.53,0.77,-2.26,"https://t1dindex.shinyapps.io/dashboard/?loc_id=724","1.0.4.15"
"Sri Lanka",14093.51,13780.01,48.30999999999999,1.4,0.708,7.46,1.4100000000000001,39.44999999999999,36.550000000000004,"TBD","TBD","TBD","TBD","TBD","TBD",48.30999999999999,43.67199999999999,30.400000000000002,30.208000000000002,"0.58%","1.25%","2.22%","100%","106.17%","112.76%","119.83%","127.16%","134.8%","142.66%","151.11%","160.16%","169.61%","179.57%","189.61%","200.09%","210.94%","222.26%","233.48%","244.99%","256.48%","268.05%","279.82%","291.99%","304.11%","316.45%","100%","100.71%","101.52%","102.38%","103.25%","104.09%","104.89%","105.67%","106.43%","107.17%","107.9%","108.63%","109.35%","110.04%","110.71%","111.35%","111.95%","112.52%","113.05%","113.56%","114.04%","114.48%","114.9%","100%","106.34%","113.3%","120.66%","127.84%","134.68%","141.68%","149.06%","156.89%","164.96%","173.08%","182.03%","192.05%","202.76%","213.2%","222.4%","230.2%","238.09%","248.32%","260.62%","260.62%","260.62%","260.62%","100%","99.2%","98.43%","97.8%","97.46%","97.68%","98.57%","100.38%","103.09%","106.54%","110.21%","114.99%","120.18%","126.56%","134.93%","145.65%","159.01%","174.87%","192.64%","211.6%","211.6%","211.6%","211.6%","100%","100.54%","101.18%","102%","102.88%","103.97%","105.47%","107.2%","109.12%","111.04%","112.78%","114.28%","115.57%","116.97%","118.54%","120.42%","122.82%","125.44%","128.53%","132.29%","132.29%","132.29%","132.29%","100%","101.59%","102.85%","103.93%","104.9%","106.01%","107.4%","108.88%","110.4%","111.93%","113.46%","115.06%","116.77%","118.46%","120.04%","121.39%","122.19%","122.96%","124.43%","126.4%","126.4%","126.4%","126.4%",78.71,48.30999999999999,2.9,"8.1%",2246.94,1,25.3,8139.06,2246.94,3.2336770219840876,5,18,41.072044186258765,5.38,0.63,3.47,4.45,1.28,1.07,"https://t1dindex.shinyapps.io/dashboard/?loc_id=144","1.0.4.15"
"St Lucia",373.1,234.06,42.730000000000004,1.65,1.47,7.35,4.93,33.730000000000004,21.690000000000005,"TBD","TBD","TBD","TBD","TBD","TBD",42.730000000000004,29.21,35.53,47.93,"2.16%","2.59%","8.23%","100%","105.7%","111.68%","118.19%","125.05%","132.45%","140.21%","148.46%","156.77%","165.51%","173.91%","182.78%","191.42%","199.94%","208.53%","217.22%","225.81%","234.85%","244.23%","253.62%","262.87%","272.22%","281.54%","100%","100.92%","101.69%","102.42%","103.24%","104.26%","105.51%","106.96%","108.47%","109.88%","111.07%","111.99%","112.7%","113.24%","113.75%","114.28%","114.85%","115.44%","116.03%","116.61%","117.14%","117.63%","118.08%","100%","103.82%","107.74%","111.79%","115.97%","120.27%","125.22%","130.99%","137.34%","143.95%","150.49%","157.37%","164.76%","172.27%","179.58%","186.37%","192.14%","197.43%","202.96%","208.43%","208.43%","208.43%","208.43%","100%","102.42%","104.18%","105.54%","106.67%","107.64%","108.82%","110.63%","113.84%","118.86%","124.55%","130.4%","136.45%","143.26%","150.4%","157.6%","164.82%","171.9%","179.09%","186.94%","186.94%","186.94%","186.94%","100%","99.74%","98.96%","97.89%","96.78%","95.88%","95.17%","94.42%","93.64%","92.84%","92.03%","91.08%","89.97%","88.8%","87.73%","86.87%","87.27%","87.8%","87.41%","86.99%","86.99%","86.99%","86.99%","100%","99.97%","100.01%","100.05%","100.03%","99.9%","99.54%","98.97%","98.29%","97.64%","97.14%","96.81%","96.54%","96.24%","95.86%","95.34%","94.59%","93.63%","92.42%","90.93%","90.93%","90.93%","90.93%",78.26,42.730000000000004,2.4,"4.8%",47.86,1,18.9,110.88,47.86,1.3067665587021007,5.5,18,41.03166983020928,4.82,0.76,2.88,3.39,-0.63,-0.43,"https://t1dindex.shinyapps.io/dashboard/?loc_id=662","1.0.4.15"
"St Vincent and the Grenadines",229.15,127.25,35.690000000000005,1.75,1.47,5.36,4.93,28.580000000000005,21.690000000000005,"TBD","TBD","TBD","TBD","TBD","TBD",35.690000000000005,29.21,38.9,47.93,"1.7%","2.31%","3.23%","100%","104.32%","109.06%","114.22%","119.43%","124.83%","130.17%","135.39%","140.66%","146.2%","151.93%","157.68%","163.96%","170.79%","177.74%","184.97%","192.41%","200.2%","208.26%","216.16%","224.28%","232.56%","240.86%","100%","100.1%","100.29%","100.5%","100.68%","100.77%","100.76%","100.68%","100.57%","100.47%","100.44%","100.49%","100.6%","100.78%","101%","101.25%","101.56%","101.89%","102.25%","102.6%","102.93%","103.23%","103.49%","100%","103.19%","106.75%","110.5%","114.31%","118.03%","121.87%","125.91%","130.04%","134.29%","138.71%","143.91%","150%","156.51%","162.99%","168.92%","174.52%","180.27%","186.81%","194.28%","194.28%","194.28%","194.28%","100%","98.65%","96.4%","93.5%","90.33%","87.21%","84.38%","82.18%","81.16%","81.44%","82.43%","83.77%","85.39%","87.37%","89.69%","91.91%","93.97%","96.24%","98.95%","101.97%","101.97%","101.97%","101.97%","100%","99.22%","98.63%","98.1%","97.53%","96.8%","95.89%","94.91%","93.89%","92.9%","91.99%","91.04%","89.98%","88.94%","88.06%","87.5%","89.48%","91.66%","91.65%","91.3%","91.3%","91.3%","91.3%","100%","98.94%","97.63%","96.23%","94.91%","93.87%","93.07%","92.35%","91.71%","91.18%","90.78%","90.53%","90.39%","90.23%","89.96%","89.49%","88.56%","87.33%","85.93%","84.25%","84.25%","84.25%","84.25%",74.59,35.690000000000005,3.5,"5.9%",29.32,1,11,45.34,29.32,1.3067665587021007,6.6,18,41.03166983020928,4.08,0.16,0.09,3.06,-0.41,-0.78,"https://t1dindex.shinyapps.io/dashboard/?loc_id=670","1.0.4.15"
