"","Time","Region","Ratio","Upper","Lower"
"124",1994.5,"Middle East/North Africa",1.05701903044221,1.14729279444641,0.973848381272291
"134",1995.5,"Middle East/North Africa",1.05972031441936,1.15363571253939,0.973450399104849
"144",1997.5,"Middle East/North Africa",1.06085025021075,1.15597841904922,0.97355040096497
"154",2002.5,"Middle East/North Africa",1.05860762976176,1.17631063708146,0.952682121935273
"164",2004,"Middle East/North Africa",1.0580486487608,1.17761746785369,0.950620191788495
"174",2007.5,"Middle East/North Africa",1.05663397230522,1.16465617068371,0.958630864226728
"184",2012.5,"Middle East/North Africa",1.05628259908317,1.16081396402969,0.961164289627168
"194",2013.5,"Middle East/North Africa",1.05707883356929,1.17296890406737,0.952638775423181
"204",2014.5,"Middle East/North Africa",1.05811314731555,1.19206360047186,0.939214511775076
"217",2015.5,"Middle East/North Africa",1.05929706308188,1.21782339017373,0.921406401706422
"118",1980.5,"Far East Europe / Central Asia",0.891445998137268,1.1837632431039,0.67131326489853
"218",1981.5,"Far East Europe / Central Asia",0.921370960277693,1.16514843759545,0.728597678245174
"317",1982.5,"Far East Europe / Central Asia",0.949615503399981,1.15212771258611,0.782699343524556
"416",1983.5,"Far East Europe / Central Asia",0.975603916103192,1.14519397827619,0.831128192403343
"515",1984.5,"Far East Europe / Central Asia",0.9987353053999,1.14477644705302,0.871324888645298
"615",1985.5,"Far East Europe / Central Asia",1.01839689283753,1.15054111638593,0.901429958973532
"714",1986.5,"Far East Europe / Central Asia",1.03403586772919,1.16057266293087,0.921295331091349
"813",1987.5,"Far East Europe / Central Asia",1.04616745442324,1.17301343738851,0.933038197014193
"95",1988.5,"Far East Europe / Central Asia",1.05584994758015,1.18663935085887,0.939475933440198
"105",1989.5,"Far East Europe / Central Asia",1.05852582902567,1.19303316768608,0.939183386567263
"119",1990.5,"Far East Europe / Central Asia",1.05449151832813,1.19148844072091,0.933246453950643
"125",1991.5,"Far East Europe / Central Asia",1.05217336537853,1.19147710404475,0.929156579722585
"135",1992.5,"Far East Europe / Central Asia",1.05350281635336,1.19207389050342,0.931039755929694
"145",1993.5,"Far East Europe / Central Asia",1.05492718253283,1.19338545936246,0.932533031734095
"155",1994.5,"Far East Europe / Central Asia",1.05659063208529,1.19959997017793,0.9306300363152
"165",1995.5,"Far East Europe / Central Asia",1.05863835604607,1.20470875982607,0.930278924056072
"175",1996.5,"Far East Europe / Central Asia",1.06139312100656,1.2018609662775,0.937342495454611
"185",1997.5,"Far East Europe / Central Asia",1.06404303512025,1.20102930623352,0.942681060913076
"195",1998.5,"Far East Europe / Central Asia",1.06502180259207,1.20282426656081,0.943006781231348
"205",1999.5,"Far East Europe / Central Asia",1.06342535634809,1.19804135930486,0.943935265457141
"219",2000.5,"Far East Europe / Central Asia",1.06078756828718,1.19303501465475,0.943199697586641
"224",2001.5,"Far East Europe / Central Asia",1.05918329148991,1.19110005595293,0.941876578180381
"234",2002.5,"Far East Europe / Central Asia",1.05890907149848,1.1901055070787,0.942175643279013
"244",2003.5,"Far East Europe / Central Asia",1.05885308832506,1.18999280337992,0.942165246269629
"254",2004.5,"Far East Europe / Central Asia",1.05896658827307,1.19162548476679,0.941076075842878
"264",2005.5,"Far East Europe / Central Asia",1.05920089598246,1.19609353428878,0.937975589607332
"274",2006.5,"Far East Europe / Central Asia",1.05950734767472,1.20479434716976,0.931740609850781
"284",2007.5,"Far East Europe / Central Asia",1.05992720618911,1.21965968239164,0.921114060454039
"294",2008.5,"Far East Europe / Central Asia",1.0605319665256,1.24253265972528,0.905189930598154
"304",2009.5,"Far East Europe / Central Asia",1.0613183594685,1.27449711003161,0.88379695118883
"318",2010.5,"Far East Europe / Central Asia",1.06228319973938,1.31618104129573,0.857363509306903
"324",2011.5,"Far East Europe / Central Asia",1.06342338025151,1.36802836781472,0.826641692724537
"334",2012.5,"Far East Europe / Central Asia",1.06473586653146,1.43052743945737,0.792478658017574
"344",2013.5,"Far East Europe / Central Asia",1.06621769129854,1.50433724972101,0.755695018154226
"120",1984.5,"HK and Taiwan",1.14673053215362,1.67789345746394,0.783715382835377
"220",1985.5,"HK and Taiwan",1.13534598024743,1.56605020141653,0.823096535282237
"319",1986.5,"HK and Taiwan",1.12471854520681,1.47467862226595,0.85780846540541
"417",1987.5,"HK and Taiwan",1.11467897386521,1.40217041377639,0.886132814221067
"516",1988.5,"HK and Taiwan",1.10506450676001,1.34718597657487,0.90645804316155
"616",1989.5,"HK and Taiwan",1.09571817102,1.30806987141905,0.917839586811175
"715",1990.5,"HK and Taiwan",1.08659987389268,1.28230127358773,0.920765899764039
"814",1991.5,"HK and Taiwan",1.07786253243498,1.26680968054033,0.917097222000718
"96",1992.5,"HK and Taiwan",1.06963955417183,1.25847585523937,0.909138440030932
"106",1993.5,"HK and Taiwan",1.06206060643204,1.25455916523717,0.899098873126119
"1110",1994.5,"HK and Taiwan",1.05441656354524,1.25059947571712,0.889009080098185
"126",1995.5,"HK and Taiwan",1.04661820979003,1.24635336018747,0.878891742947857
"136",1996.5,"HK and Taiwan",1.03970006346158,1.24451505348087,0.868592323522768
"146",1997.5,"HK and Taiwan",1.03467067371391,1.2438078406066,0.860698387719995
"156",1998.5,"HK and Taiwan",1.03327862976074,1.23982310539166,0.861142788900492
"166",1999.5,"HK and Taiwan",1.03539068415419,1.23778096453969,0.866093355403923
