world_bank_name,united_nations_name,sub_saharan_africa,drop_country,world_bank_code,world_bank_classification,jdrf_region_name,jdrf_broad_region_name,jdrf_broad_region_code,legacy_region_code,legacy_region_name,loc_id,broad_region_id,region_id
Guyana,Guyana,FALSE,FALSE,GUY,UMIC,South America,Americas,AMER,NAC,North America & Carribbean,328,1,9
Haiti,Haiti,FALSE,FALSE,HTI,LIC,Central America and The Caribbean,Americas,AMER,NAC,North America & Carribbean,332,1,2
Honduras,Honduras,FALSE,FALSE,HND,LMIC,Central America and The Caribbean,Americas,AMER,SACA,South America & Central America,340,1,2
Hungary,Hungary,FALSE,FALSE,HUN,HIC,Eastern Europe,Europe,EUR,EUR,Europe,348,3,4
Iceland,Iceland,FALSE,FALSE,ISL,HIC,Nordic Countries,Europe,EUR,EUR,Europe,352,3,6
India,India,FALSE,FALSE,IND,LMIC,South Asia,Asia-Pacific,APAC,SEA,South Asia,356,2,10
Indonesia,Indonesia,FALSE,FALSE,IDN,LMIC,South-East Asia,Asia-Pacific,APAC,WP,Western Pacific,360,2,11
Iraq,Iraq,FALSE,FALSE,IRQ,UMIC,Middle East,Middle East and Africa,MEA,EMME,Middle East & North Africa,368,4,5
Ireland,Ireland,FALSE,FALSE,IRL,HIC,Western Europe,Europe,EUR,EUR,Europe,372,3,13
Islamic Republic of Iran,Iran (Islamic Republic of),FALSE,FALSE,IRN,UMIC,South Asia,Asia-Pacific,APAC,EMME,Middle East & North Africa,364,2,10
Israel,Israel,FALSE,FALSE,ISR,HIC,Middle East,Middle East and Africa,MEA,EUR,Europe,376,4,5
Italy,Italy,FALSE,FALSE,ITA,HIC,Western Europe,Europe,EUR,EUR,Europe,380,3,13
Jamaica,Jamaica,FALSE,FALSE,JAM,UMIC,Central America and The Caribbean,Americas,AMER,NAC,North America & Carribbean,388,1,2
Japan,Japan,FALSE,FALSE,JPN,HIC,East Asia,Asia-Pacific,APAC,WP,Western Pacific,392,2,3
Jordan,Jordan,FALSE,FALSE,JOR,UMIC,Middle East,Middle East and Africa,MEA,EMME,Middle East & North Africa,400,4,5
Kazakhstan,Kazakhstan,FALSE,FALSE,KAZ,UMIC,Central Asia,Asia-Pacific,APAC,EUR,Europe,398,2,4
Kenya,Kenya,TRUE,FALSE,KEN,LMIC,Sub-Saharan Africa,Middle East and Africa,MEA,AFR,Sub-Saharan Africa,404,4,12
Kiribati,Kiribati,FALSE,FALSE,KIR,LMIC,Oceania,Asia-Pacific,APAC,WP,Western Pacific,296,2,11
Kuwait,Kuwait,FALSE,FALSE,KWT,HIC,Middle East,Middle East and Africa,MEA,EMME,Middle East & North Africa,414,4,5
