loc_id,year,hba1c
214,2040,9.5
214,2050,9.5
214,2060,9.5
214,2100,9.5
218,1850,13.5
218,1920,13.5
218,1921,12
218,1950,12
218,1980,12
218,1990,9.5
218,2000,9.5
218,2010,9.5
218,2020,9.5
218,2030,9.5
218,2040,9.5
218,2050,9.5
218,2060,9.5
218,2100,9.5
818,1850,13.5
818,1920,13.5
818,1921,12
818,1950,12
818,1980,12
818,1990,12
818,2000,12
818,2010,12
818,2020,11.5
818,2030,11.5
818,2040,11.5
818,2050,11.5
818,2060,11.5
818,2100,11.5
222,1850,13.5
222,1920,13.5
222,1921,12
222,1950,12
222,1980,12
222,1990,12
222,2000,12
222,2010,12
222,2020,11.5
222,2030,11.5
222,2040,11.5
222,2050,11.5
222,2060,11.5
222,2100,11.5
226,1850,13.5
226,1920,13.5
226,1921,12
226,1950,12
226,1980,12
226,1990,9.5
226,2000,9.5
226,2010,9.5
226,2020,9.5
226,2030,9.5
226,2040,9.5
226,2050,9.5
226,2060,9.5
226,2100,9.5
232,1850,13.5
232,1920,13.5
232,1921,13.5
232,1950,13.5
232,1980,13.5
232,1990,13.5
232,2000,13.5
232,2010,13.5
232,2020,12.5
232,2030,12.5
232,2040,12.5
232,2050,12.5
232,2060,12.5
232,2100,12.5
233,1850,13.5
233,1920,13.5
233,1921,11
233,1950,11
233,1980,10
233,1990,9
233,2000,9
233,2010,9
233,2020,8.5
233,2030,8.5
233,2040,8.5
233,2050,8.5
233,2060,8.5
233,2100,8.5
231,1850,13.5
231,1920,13.5
231,1921,13.5
231,1950,13.5
231,1980,13.5
231,1990,13.5
231,2000,13.5
231,2010,13.5
231,2020,12.5
231,2030,12.5
231,2040,12.5
231,2050,12.5
231,2060,12.5
231,2100,12.5
583,1850,13.5
583,1920,13.5
583,1921,12
583,1950,12
583,1980,12
583,1990,12
583,2000,12
583,2010,12
583,2020,11.5
583,2030,11.5
583,2040,11.5
583,2050,11.5
583,2060,11.5
583,2100,11.5
242,1850,13.5
242,1920,13.5
242,1921,12
242,1950,12
242,1980,12
242,1990,9.5
242,2000,9.5
242,2010,9.5
242,2020,9.5
242,2030,9.5
242,2040,9.5
242,2050,9.5
242,2060,9.5
242,2100,9.5
246,1850,13.5
246,1920,13.5
246,1921,11
246,1950,11
246,1980,10
246,1990,9
246,2000,9
246,2010,9
246,2020,8.5
246,2030,8.5
246,2040,8.5
246,2050,8.5
246,2060,8.5
246,2100,8.5
250,1850,13.5
250,1920,13.5
250,1921,11
250,1950,11
250,1980,10
250,1990,9
250,2000,9
250,2010,9
250,2020,8.5
250,2030,8.5
250,2040,8.5
250,2050,8.5
250,2060,8.5
250,2100,8.5
254,1850,13.5
254,1920,13.5
254,1921,12
254,1950,12
254,1980,12
254,1990,9.5
254,2000,9.5
254,2010,9.5
254,2020,9.5
254,2030,9.5
254,2040,9.5
254,2050,9.5
254,2060,9.5
254,2100,9.5
258,1850,13.5
258,1920,13.5
258,1921,11
258,1950,11
258,1980,10
258,1990,9
258,2000,9
258,2010,9
258,2020,8.5
258,2030,8.5
258,2040,8.5
258,2050,8.5
258,2060,8.5
258,2100,8.5
266,1850,13.5
266,1920,13.5
266,1921,12
266,1950,12
266,1980,12
266,1990,9.5
266,2000,9.5
266,2010,9.5
266,2020,9.5
266,2030,9.5
266,2040,9.5
266,2050,9.5
266,2060,9.5
266,2100,9.5
270,1850,13.5
270,1920,13.5
270,1921,13.5
270,1950,13.5
270,1980,13.5
270,1990,13.5
270,2000,13.5
270,2010,13.5
270,2020,12.5
270,2030,12.5
270,2040,12.5
270,2050,12.5
270,2060,12.5
270,2100,12.5
268,1850,13.5
268,1920,13.5
268,1921,12
268,1950,12
268,1980,12
268,1990,12
268,2000,12
268,2010,12
268,2020,11.5
268,2030,11.5
268,2040,11.5
268,2050,11.5
268,2060,11.5
268,2100,11.5
276,1850,13.5
276,1920,13.5
276,1921,11
276,1950,11
276,1980,10
276,1990,9
276,2000,9
276,2010,9
276,2020,8.5
276,2030,8.5
276,2040,8.5
276,2050,8.5
276,2060,8.5
276,2100,8.5
288,1850,13.5
288,1920,13.5
288,1921,12
288,1950,12
288,1980,12
288,1990,12
288,2000,12
288,2010,12
288,2020,11.5
288,2030,11.5
288,2040,11.5
288,2050,11.5
288,2060,11.5
288,2100,11.5
300,1850,13.5
300,1920,13.5
300,1921,11
300,1950,11
300,1980,10
300,1990,9
300,2000,9
300,2010,9
300,2020,8.5
300,2030,8.5
300,2040,8.5
300,2050,8.5
300,2060,8.5
300,2100,8.5
308,1850,13.5
308,1920,13.5
308,1921,12
308,1950,12
308,1980,12
308,1990,9.5
308,2000,9.5
308,2010,9.5
308,2020,9.5
308,2030,9.5
308,2040,9.5
308,2050,9.5
308,2060,9.5
308,2100,9.5
312,1850,13.5
312,1920,13.5
312,1921,12
312,1950,12
312,1980,12
312,1990,9.5
312,2000,9.5
312,2010,9.5
312,2020,9.5
312,2030,9.5
312,2040,9.5
312,2050,9.5
312,2060,9.5
312,2100,9.5
316,1850,13.5
316,1920,13.5
316,1921,11
316,1950,11
316,1980,10
316,1990,9
316,2000,9
316,2010,9
316,2020,8.5
316,2030,8.5
316,2040,8.5
316,2050,8.5
316,2060,8.5
316,2100,8.5
320,1850,13.5
320,1920,13.5
320,1921,12
320,1950,12
320,1980,12
320,1990,9.5
320,2000,9.5
320,2010,9.5
320,2020,9.5
320,2030,9.5
320,2040,9.5
320,2050,9.5
320,2060,9.5
320,2100,9.5
324,1850,13.5
324,1920,13.5
324,1921,13.5
324,1950,13.5
324,1980,13.5
324,1990,13.5
324,2000,13.5
324,2010,13.5
324,2020,12.5
324,2030,12.5
324,2040,12.5
324,2050,12.5
324,2060,12.5
324,2100,12.5
624,1850,13.5
624,1920,13.5
624,1921,13.5
624,1950,13.5
624,1980,13.5
624,1990,13.5
624,2000,13.5
624,2010,13.5
624,2020,12.5
624,2030,12.5
624,2040,12.5
624,2050,12.5
624,2060,12.5
624,2100,12.5
328,1850,13.5
328,1920,13.5
328,1921,12
328,1950,12
328,1980,12
328,1990,9.5
328,2000,9.5
328,2010,9.5
328,2020,9.5
328,2030,9.5
328,2040,9.5
328,2050,9.5
328,2060,9.5
328,2100,9.5
332,1850,13.5
332,1920,13.5
332,1921,13.5
332,1950,13.5
332,1980,13.5
332,1990,13.5
332,2000,13.5
332,2010,13.5
332,2020,12.5
332,2030,12.5
332,2040,12.5
332,2050,12.5
332,2060,12.5
332,2100,12.5
340,1850,13.5
340,1920,13.5
340,1921,12
340,1950,12
340,1980,12
340,1990,12
340,2000,12
340,2010,12
340,2020,11.5
340,2030,11.5
340,2040,11.5
340,2050,11.5
340,2060,11.5
340,2100,11.5
348,1850,13.5
348,1920,13.5
348,1921,11
348,1950,11
348,1980,10
348,1990,9
348,2000,9
348,2010,9
348,2020,8.5
348,2030,8.5
348,2040,8.5
348,2050,8.5
348,2060,8.5
348,2100,8.5
352,1850,13.5
352,1920,13.5
352,1921,11
352,1950,11
352,1980,10
352,1990,9
352,2000,9
352,2010,9
352,2020,8.5
352,2030,8.5
352,2040,8.5
352,2050,8.5
352,2060,8.5
352,2100,8.5
356,1850,13.5
356,1920,13.5
356,1921,12
356,1950,12
356,1980,12
356,1990,12
356,2000,12
356,2010,12
356,2020,11.5
356,2030,11.5
356,2040,11.5
356,2050,11.5
356,2060,11.5
356,2100,11.5
360,1850,13.5
360,1920,13.5
360,1921,12
360,1950,12
360,1980,12
360,1990,12
360,2000,12
360,2010,12
360,2020,11.5
360,2030,11.5
360,2040,11.5
360,2050,11.5
360,2060,11.5
360,2100,11.5
368,1850,13.5
368,1920,13.5
368,1921,12
368,1950,12
368,1980,12
368,1990,9.5
368,2000,9.5
368,2010,9.5
368,2020,9.5
368,2030,9.5
368,2040,9.5
368,2050,9.5
368,2060,9.5
368,2100,9.5
372,1850,13.5
372,1920,13.5
372,1921,11
372,1950,11
372,1980,10
372,1990,9
372,2000,9
372,2010,9
372,2020,8.5
372,2030,8.5
372,2040,8.5
372,2050,8.5
372,2060,8.5
372,2100,8.5
364,1850,13.5
364,1920,13.5
364,1921,12
364,1950,12
364,1980,12
364,1990,9.5
364,2000,9.5
364,2010,9.5
364,2020,9.5
364,2030,9.5
364,2040,9.5
364,2050,9.5
364,2060,9.5
364,2100,9.5
376,1850,13.5
376,1920,13.5
376,1921,11
376,1950,11
376,1980,10
376,1990,9
376,2000,9
376,2010,9
376,2020,8.5
376,2030,8.5
376,2040,8.5
376,2050,8.5
376,2060,8.5
376,2100,8.5
380,1850,13.5
380,1920,13.5
380,1921,11
380,1950,11
380,1980,10
380,1990,9
380,2000,9
380,2010,9
380,2020,8.5
380,2030,8.5
380,2040,8.5
380,2050,8.5
380,2060,8.5
380,2100,8.5
388,1850,13.5
388,1920,13.5
388,1921,12
388,1950,12
388,1980,12
388,1990,9.5
388,2000,9.5
388,2010,9.5
388,2020,9.5
388,2030,9.5
388,2040,9.5
388,2050,9.5
388,2060,9.5
388,2100,9.5
392,1850,13.5
392,1920,13.5
392,1921,11
392,1950,11
392,1980,10
392,1990,9
392,2000,9
392,2010,9
392,2020,8.5
392,2030,8.5
