country,iso3c,year,dm_mortrate,avail_dialysis,avail_diabtest,avail_diabtest_ogtt,avail_diabtest_hba1c,avail_diabreg,univ_leg,national_ehr
Sierra Leone,SLE,2019,65.9,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA
El Salvador,SLV,2019,33.1,FALSE,TRUE,TRUE,NA,FALSE,TRUE,TRUE
San Marino,SMR,2019,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Somalia,SOM,2019,47,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Serbia,SRB,2019,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
South Sudan,SSD,2019,NA,FALSE,NA,TRUE,TRUE,FALSE,FALSE,FALSE
Sao Tome and Principe,STP,2019,51.8,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,NA
Suriname,SUR,2019,49.1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA
Slovakia,SVK,2019,10.1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,NA
Slovenia,SVN,2019,17.9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Sweden,SWE,2019,8.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Eswatini,SWZ,2019,45.1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA
Seychelles,SYC,2019,28.6,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Syrian Arab Republic,SYR,2019,20.9,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Chad,TCD,2019,58.1,TRUE,NA,TRUE,FALSE,FALSE,FALSE,NA
Togo,TGO,2019,52.1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA
Thailand,THA,2019,43.9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Tajikistan,TJK,2019,19.7,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Turkmenistan,TKM,2019,19.2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Timor-Leste,TLS,2019,25.7,TRUE,NA,TRUE,FALSE,FALSE,FALSE,TRUE
Tonga,TON,2019,45.3,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,NA
Trinidad and Tobago,TTO,2019,128.2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Tunisia,TUN,2019,11.9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA
Turkey,TUR,2019,19.7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Tuvalu,TUV,2019,63.4,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,NA
United Republic of Tanzania,TZA,2019,54.6,TRUE,NA,TRUE,TRUE,TRUE,FALSE,NA
Uganda,UGA,2019,50.5,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Ukraine,UKR,2019,4,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Uruguay,URY,2019,14.6,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
United States of America,USA,2019,16.8,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Uzbekistan,UZB,2019,24.6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Saint Vincent and the Grenadines,VCT,2019,125.8,TRUE,NA,TRUE,TRUE,FALSE,FALSE,NA
Venezuela (Bolivarian Republic of),VEN,2019,42.6,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA
Viet Nam,VNM,2019,23.2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Vanuatu,VUT,2019,48.7,FALSE,TRUE,TRUE,NA,TRUE,FALSE,NA
Samoa,WSM,2019,51.3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA
Yemen,YEM,2019,21.1,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA
South Africa,ZAF,2019,84.8,TRUE,NA,TRUE,NA,FALSE,FALSE,FALSE
Zambia,ZMB,2019,53.5,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
Zimbabwe,ZWE,2019,52,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
